ID,Symbol,Time,Price,Volume
118,HPQ,17:47:51.895024,18.74,468998
119,GOOGL,17:47:51.895024,890.275,375289
120,AMZN,17:47:51.895024,919.3,1440069
121,YHOO,17:48:53.595017,48.25,5215728
122,INTC,17:48:53.595017,37.09,13675673
123,FB,17:48:53.595017,147.0255,4437023
124,AAPL,17:48:53.595017,143.48,4945691
125,IBM,17:48:53.595017,160.1,1889709
126,MSFT,17:48:53.595017,67.86,4625382
127,TWTR,17:48:53.595017,16.555,28103988
128,HPQ,17:48:53.595017,18.63,15
129,GOOGL,17:48:53.595017,890.275,375289
130,AMZN,17:48:53.595017,920.6,67782
131,YHOO,17:49:55.457717,48.36,4566003
132,INTC,17:49:55.457717,37.105,11201781
133,FB,17:49:55.457717,147.0255,4437023
134,AAPL,17:49:55.457717,143.55,4997818
135,IBM,17:49:55.457717,159.94,1467206
136,MSFT,17:49:55.457717,67.775,737308
137,TWTR,17:49:55.457717,16.555,28103988
138,HPQ,17:49:55.457717,18.805,2021683
139,GOOGL,17:49:55.457717,890.275,375289
140,AMZN,17:49:55.457717,920.6,67782
141,YHOO,17:50:57.061119,48.36,4566003
142,INTC,17:50:57.061119,37.09,13675673
143,FB,17:50:57.061119,147.34,6444165
144,AAPL,17:50:57.061119,143.77,7035709
145,IBM,17:50:57.061119,159.92,1500000
146,MSFT,17:50:57.061119,67.775,737308
147,TWTR,17:50:57.061119,16.335,16765632
148,HPQ,17:50:57.061119,18.755,3388119
149,GOOGL,17:50:57.061119,888.9551,805557
150,AMZN,17:50:57.061119,919.1,1429858
151,YHOO,17:51:58.838747,48.2,5568096
152,INTC,17:51:58.838747,36.995,4870516
153,FB,17:51:58.838747,147.34,6444165
154,AAPL,17:51:58.838747,143.77,7035709
155,IBM,17:51:58.838747,160.21,1711691
156,MSFT,17:51:58.838747,67.86,4625382
157,TWTR,17:51:58.838747,16.4416,11161318
158,HPQ,17:51:58.838747,18.74,468998
159,GOOGL,17:51:58.838747,889.78,686440
160,AMZN,17:51:58.838747,919.1,1429858
161,YHOO,17:53:00.455599,48.2,5568096
162,INTC,17:53:00.455599,37.09,13675673
163,FB,17:53:00.455599,147.0255,4437023
164,AAPL,17:53:00.455599,143.48,5576784
165,IBM,17:53:00.455599,159.94,1467206
166,MSFT,17:53:00.455599,67.955,7485818
167,TWTR,17:53:00.455599,16.49,25847151
168,HPQ,17:53:00.455599,18.805,2021683
169,GOOGL,17:53:00.455599,889.73,557002
170,AMZN,17:53:00.455599,920.1925,61945
171,YHOO,17:54:02.430878,48.2,5568096
172,INTC,17:54:02.430878,37.105,11201781
173,FB,17:54:02.430878,146.56,10311
174,AAPL,17:54:02.430878,143.55,4997818
175,IBM,17:54:02.430878,159.92,1500000
176,MSFT,17:54:02.430878,67.775,737308
177,TWTR,17:54:02.430878,16.4416,11161318
178,HPQ,17:54:02.430878,18.805,2021683
179,GOOGL,17:54:02.430878,889.73,557002
180,AMZN,17:54:02.430878,920.6,67782
181,YHOO,17:55:04.199262,48.4201,3777685
182,INTC,17:55:04.199262,36.995,4870516
183,FB,17:55:04.199262,147.29,6104138
184,AAPL,17:55:04.199262,143.55,4997818
185,IBM,17:55:04.199262,159.92,1500000
186,MSFT,17:55:04.199262,67.83,26190770
187,TWTR,17:55:04.199262,16.335,16765632
188,HPQ,17:55:04.199262,18.63,15
189,GOOGL,17:55:04.199262,890.275,375289
190,AMZN,17:55:04.199262,920.1925,61945
191,YHOO,17:56:06.755515,48.25,5215728
192,INTC,17:56:06.755515,37.105,11201781
193,FB,17:56:06.755515,147.119,5739555
194,AAPL,17:56:06.755515,143.77,7035709
195,IBM,17:56:06.755515,160.1,1889709
196,MSFT,17:56:06.755515,67.955,7485818
197,TWTR,17:56:06.755515,16.335,16765632
198,HPQ,17:56:06.755515,18.755,3388119
199,GOOGL,17:56:06.755515,889.73,557002
200,AMZN,17:56:06.755515,919.3,1440069
201,YHOO,17:57:08.572494,48.36,4566003
202,INTC,17:57:08.572494,37.09,13675673
